ts	phase	decision	why	evidence	result
2026-09-05T15:25:39Z	frame	counted live grokdex.net first: 88 listings, board HTML 1.1MB, catalog 1.3MB, flaky 1102 on llms/faq/index.md/support/mcp card, two H1s on board catalog listings, API default count 50	wave 4 already shipped guides and page OG. remaining work is reliability and crawler HTML, not more pages	/tmp/grokdex-seo-live plus live curl 2026-09-05	found production 1102s and 1MB board HTML
2026-09-05T15:29:14Z	harness	wrote scripts/seo-aeo-audit.mjs; live grokdex.net fails 5 checks (two H1s, 1MB HTML, API has no total)	need a rerunnable gate before changing code	scripts/seo-aeo-audit.mjs against https://grokdex.net, FAIL 5	harness catches the live bugs
2026-09-05T15:29:14Z	markdown	FAQ markdown no longer loads the catalog	faq/index.md 1102d because every markdown request called listTemplates	src/app/agent/markdown/route.ts, markdownNeedsListings in src/lib/agent.ts	local /faq/index.md 200 in 9ms
2026-09-05T15:29:14Z	h1	loading fallbacks no longer emit h1, so streamed HTML has one heading	templates/loading.tsx h1 was concatenating onto the board and every listing	src/app/templates/loading.tsx src/app/catalog/loading.tsx	local board/catalog/listing h1=1
2026-09-05T15:29:14Z	api	GET /api/bots count is the catalog size, default limit 100	agents hitting the default saw 50 of 88 listings and thought that was all	src/app/api/bots/route.ts src/lib/mcp.ts	local api total=31 limit=100
2026-09-05T15:29:14Z	schema	Organization @id and logo, SearchAction EntryPoint, OG cards on privacy/terms/support	page identity for crawlers and share previews	src/lib/json-ld.ts src/app/privacy/opengraph-image.tsx	local JSON-LD has #organization and EntryPoint
2026-09-05T15:29:14Z	thumbs	list thumbs paint after mount	SSR of 275 identity SVGs made board HTML 1.1MB and burned worker CPU	src/components/bot-identity.tsx	local board 257k catalog 347k authors 78k, all under 400k
2026-09-05T15:29:14Z	skip	did not add more guide pages or fake twitter:site	wave 4 already covered intents; density still comes from real listings; no product handle	wave4-seo-aeo/product-notes.md Never list	held
2026-09-05T15:30:52Z	robots	named Bingbot, Google-CloudVertexBot, DuckAssistBot, YouBot, Applebot in robots.txt	* already allows all; explicit blocks help crawlers that look for their name	src/lib/agent.ts AI_USER_AGENTS	unit test matches the new UAs
2026-09-05T15:30:52Z	verify	local audit: board 257k catalog 347k authors 78k, all h1=1, API total=31, markdown 200. robots.txt 500 only on local turbopack (production robots 200)	prove it on the real HTML, not only file greps	node scripts/seo-aeo-audit.mjs http://127.0.0.1:43127	local FAIL 1 robots.txt 500; other predicates pass
2026-09-05T15:30:52Z	open	production 1102/503 on support and mcp card still possible until deploy plus worker CPU headroom	those were flaky Cloudflare 1102s; this PR cuts SSR SVG CPU and FAQ markdown DB load, then we re-run the live harness	live curl error code 1102	open until post-deploy audit
